"","Mean_VelocityU","Velocity_25U","Velocity_75U","Velocity_5U","Velocity_95U","Mean_VelocityA","Velocity_25A","Velocity_75A","Velocity_5A","Velocity_95A","Mean_DepthU","Depth_25U","Depth_75U","Depth_5U","Depth_95U","Mean_DepthA","Depth_25A","Depth_75A","Depth_5A","Depth_95A","Mean_SubstrateU","Substrate_25U","Substrate_75U","Substrate_5U","Substrate_95U","Mean_SubstrateA","Substrate_25A","Substrate_75A","Substrate_5A","Substrate_95A","Mean_InstreamU","Instream_25U","Instream_75U","Instream_5U","Instream_95U","Mean_InstreamA","Instream_25A","Instream_75A","Instream_5A","Instream_95A","Mean_CanopyU","Canopy_25U","Canopy_75U","Canopy_5U","Canopy_95U","Mean_CanopyA","Canopy_25A","Canopy_75A","Canopy_5A","Canopy_95A"
"1",0.065,0.015,0.11,0,0.1295,0.0285936395759717,0,0.03,0,0.169,86.75,66.25,95.5,54.9,141.55,89.6897689768977,51,140,25.1,151,4.28571428571429,3,6,1.6,6,4.24820143884892,2,6,1,7,0.18125,0,0.275,0,0.5,0.149368421052632,0,0.25,0,0.6,1,1,1,1,1,0.437931034482759,0,1,0,1
"2",0.105,0.0875,0.1175,0.007,0.205,0.0307163120567376,0,0.03,0,0.1695,100.125,84.5,106,74.8,141.55,89.2185430463576,52.25,139.75,24,151,5.14285714285714,5.5,6,2.2,6,4.35018050541516,2,7,1,7,0.275,0,0.5,0,0.565,0.142809210526316,0,0.2,0,0.6,0.875,1,1,0.35,1,0.491408934707904,0,1,0,1
"3",0.05625,0,0.1025,0,0.1295,0.0285314685314685,0,0.03,0,0.1375,93.875,62.75,130.75,44.8,151,90.4617940199335,54,139,26,151,4.14285714285714,3,6,1.6,6.7,4.30181818181818,3,6,1,7,0.18125,0,0.275,0,0.5,0.134756578947368,0,0.2,0,0.6,1,1,1,1,1,0.461805555555556,0,1,0,1
"4",0.0675,0.015,0.11,0,0.11,0.0273476702508961,0,0.03,0,0.131,98.375,78,108.25,68.75,151,88.9003322259136,52,136,25,151,4.85714285714286,4,6,1.6,6.7,4.37275985663082,3,6,1,7,0.18125,0,0.35,0,0.5,0.148927631578947,0,0.22,0,0.6,1,1,1,1,1,0.44636678200692,0,1,0,1
"5",0.13,0.1025,0.12,0.054,0.267,0.0313642857142857,0,0.03,0,0.17,81.125,73.75,88,63.1,94,87.5264900662252,50.5,133.5,24,151,5.125,4.5,6,3,6,4.38351254480287,3,6,1,7,0.3875,0.275,0.5,0.1675,0.695,0.145368421052632,0,0.2,0,0.6,0.875,1,1,0.35,1,0.442906574394464,0,1,0,1
"6",0.10625,0.05,0.1175,0.007,0.2635,0.0235451263537906,0,0.03,0,0.1,90,70.75,95.5,65.05,141.55,88.8833333333333,50,140,23,151,4.71428571428571,4,6,1.6,6,4.28519855595668,2,6,1,7,0.26875,0,0.5,0,0.695,0.141940789473684,0,0.2,0,0.6,0.875,1,1,0.35,1,0.470588235294118,0,1,0,1
"7",0.1125,0.075,0.11,0.021,0.253,0.0295759717314488,0,0.03,0,0.149,80.5,66.25,86,49.7,128.25,88.0629139072848,52.25,137.5,24,151,5,4,6,3,6,4.32978723404255,3,6,1,7,0.29375,0.1125,0.5,0,0.695,0.148059210526316,0,0.2025,0,0.6,0.875,1,1,0.35,1,0.468965517241379,0,1,0,1
"8",0.07,0.015,0.1175,0,0.1465,0.0304731182795699,0,0.03,0,0.14,81.375,58.25,95.5,48.7,141.55,85.7508305647841,50,132,24,151,4.42857142857143,3,6,2.3,6,4.30714285714286,3,6,1,7,0.225,0.075,0.3875,0,0.5,0.147368421052632,0,0.2,0,0.6,1,1,1,1,1,0.482638888888889,0,1,0,1
"9",0.0725,0.035,0.11,0.007,0.1295,0.0260645161290323,0,0.03,0,0.111999999999999,88,70,95.5,49.7,141.55,88.55,51.5,138.25,24,151,4.28571428571429,3,6,1.6,6,4.34172661870504,3,6,1,7,0.2,0,0.275,0,0.5,0.150217105263158,0,0.25,0,0.6,1,1,1,1,1,0.486111111111111,0,1,0,1
"10",0.11125,0.055,0.1175,0.027,0.2635,0.0279858657243816,0,0.03,0,0.14,82.75,70.75,87.25,65.05,113.5,87.936877076412,52,139,24,151,4.5,3,6,1.7,6,4.225,2,6,1,7,0.26875,0.1125,0.35,0,0.695,0.146710526315789,0,0.2,0,0.642499999999998,0.875,1,1,0.35,1,0.46875,0,1,0,1
"11",0.05375,0,0.11,0,0.11,0.0284341637010676,0,0.03,0,0.15,92.875,70.75,102.25,55.95,151,87.0730897009967,50,134,24,151,4.42857142857143,3,6,1.6,6.7,4.24548736462094,2,6,1,7,0.15625,0,0.2375,0,0.5,0.138513157894737,0,0.2,0,0.6,1,1,1,1,1,0.46551724137931,0,1,0,1
"12",0.08625,0.035,0.1175,0.007,0.205,0.028705035971223,0,0.03,0,0.1515,90.625,66.25,106,53.6,141.55,87.328903654485,53,134,24,151,4.57142857142857,3,6,2.3,6,4.42293906810036,3,7,1,7,0.26875,0.1125,0.5,0,0.565,0.139302631578947,0,0.2,0,0.642499999999998,0.875,1,1,0.35,1,0.465753424657534,0,1,0,1
"13",0.09,0.065,0.1175,0.007,0.1465,0.0296901408450704,0,0.03,0,0.1485,86.875,65.5,95.5,52.55,141.55,87.7873754152824,50,134,25,151,4.71428571428571,4,6,2.3,6,4.28571428571429,2,6,1,7,0.25,0,0.5,0,0.5,0.152986842105263,0,0.25,0,0.6,1,1,1,1,1,0.463667820069204,0,1,0,1
"14",0.09625,0.035,0.1175,0.007,0.205,0.0292517985611511,0,0.03,0,0.1415,96.75,85.75,106,60.95,141.55,87.7980132450331,50.5,137.75,24,151,5,4.5,6,2.3,6,4.37234042553191,3,6,1,7,0.325,0.15,0.5,0,0.565,0.144717105263158,0,0.2,0,0.642499999999998,0.875,1,1,0.35,1,0.446735395189003,0,1,0,1
"15",0.06375,0.015,0.1025,0,0.1295,0.0282508960573477,0,0.03,0,0.141999999999999,81.25,60.5,91,44.8,141.55,86.5182724252492,49,134,24,151,3.85714285714286,3,5.5,1.6,6,4.32490974729242,3,6,1,7,0.14375,0,0.2,0,0.395,0.149368421052632,0,0.2,0,0.6,1,1,1,1,1,0.437931034482759,0,1,0,1
"16",0.095,0.015,0.1175,0,0.2635,0.0319357142857143,0,0.03,0,0.1705,96.75,73,130.75,49.7,151,86.6085526315789,50,130,25.15,151,5,4.5,6,1.6,6.7,4.27402135231317,2,6,1,7,0.275,0,0.5,0,0.695,0.143263157894737,0,0.2,0,0.642499999999998,0.875,1,1,0.35,1,0.448275862068966,0,1,0,1
"17",0.1275,0.095,0.1425,0.028,0.267,0.0325971223021583,0,0.04,0,0.1615,84.875,65.5,95.5,48.65,141.55,88.2325581395349,52,134,26,151,4.85714285714286,4,6,3,6,4.27142857142857,2,6,1,7,0.3125,0.1125,0.5,0,0.695,0.139335526315789,0,0.2,0,0.642499999999998,0.875,1,1,0.35,1,0.465277777777778,0,1,0,1
"18",0.0675,0.015,0.1175,0,0.1465,0.0277730496453901,0,0.03,0,0.1495,96.625,65.5,130.75,52.55,151,88.8870431893688,53,134,26,151,4.57142857142857,3,6,2.3,6.7,4.28825622775801,2,6,1,7,0.2125,0,0.3875,0,0.5,0.148052631578947,0,0.2,0,0.642499999999998,1,1,1,1,1,0.443298969072165,0,1,0,1
"19",0.08375,0.065,0.11,0.007,0.1295,0.0280071428571429,0,0.03,0,0.1505,88.5,70.75,95.5,50.75,141.55,88.0963455149502,50,139,24,151,4.28571428571429,3,6,1.6,6,4.39068100358423,3,6,1,7,0.23125,0,0.5,0,0.5,0.148190789473684,0,0.25,0,0.65,1,1,1,1,1,0.475862068965517,0,1,0,1
"20",0.07875,0.035,0.11,0.007,0.1295,0.0282571428571429,0,0.03,0,0.1405,90.75,78,95.5,52.5,141.55,86.5566666666667,52,126,27.9,151,4.28571428571429,3,6,1.6,6,4.26923076923077,2,6,1,7,0.2375,0,0.5,0,0.5,0.164809210526316,0,0.25,0,0.692499999999998,1,1,1,1,1,0.475694444444444,0,1,0,1
"21",0.10625,0.075,0.12,0.021,0.2085,0.0290492957746479,0,0.03,0,0.14,80.375,63.25,89.5,48.65,133.15,88.0963455149502,52,138,24,151,5.125,4.5,6,3,6.65,4.35379061371841,3,6,1,7,0.25,0.1125,0.3875,0,0.565,0.151460526315789,0,0.25,0,0.65,0.875,1,1,0.35,1,0.477508650519031,0,1,0,1
"22",0.08625,0.055,0.1175,0.014,0.1465,0.0266379928315412,0,0.03,0,0.121,91.5,66.25,101.5,62.05,141.55,88.3166666666667,52,138,24,151,5,4,6,3,6,4.31159420289855,2,6,1,7,0.275,0.1875,0.3875,0.0525,0.5,0.155776315789474,0,0.25,0,0.692499999999998,1,1,1,1,1,0.45993031358885,0,1,0,1
"23",0.095,0.095,0.11,0.028,0.1295,0.0254163701067616,0,0.03,0,0.12,77.625,62.75,88,44.8,113.5,89,52,138,24,151,4.75,3,6,3,6,4.3356890459364,2.5,6,1,7,0.28125,0.1375,0.5,0.035,0.5,0.148052631578947,0,0.2,0,0.692499999999998,1,1,1,1,1,0.449826989619377,0,1,0,1
"24",0.12125,0.0925,0.1175,0.027,0.2635,0.0307137809187279,0,0.03,0,0.159,87.875,79,88,73.4,113.5,86.0860927152318,50,132,22.05,151,4.875,4.5,6,1.7,6,4.30742049469965,3,6,1,7,0.35,0.15,0.5,0,0.695,0.149203947368421,0,0.22,0,0.65,0.875,1,1,0.35,1,0.456445993031359,0,1,0,1
"25",0.0575,0.015,0.11,0,0.1295,0.0290071428571429,0,0.03,0,0.1405,97,70,130.75,53.6,151,89.0132890365448,54,138,24,151,4.33333333333333,2.75,6,1.25,6,4.29537366548043,2,6,1,7,0.15,0,0.275,0,0.5,0.149697368421053,0,0.2,0,0.65,1,1,1,1,1,0.443298969072165,0,1,0,1
"26",0.1175,0.065,0.1425,0.007,0.267,0.0319068100358423,0,0.03,0,0.161,87.375,65.5,95.5,52.55,141.55,85.514950166113,52,128,24,151,4.85714285714286,4,6,2.3,6,4.4,3,6,1,7,0.35,0.1125,0.5,0,0.695,0.148157894736842,0,0.2,0,0.65,0.875,1,1,0.35,1,0.474226804123711,0,1,0,1
"27",0.0725,0.035,0.11,0.007,0.11,0.0270818505338078,0,0.03,0,0.14,90.125,78,88,68.75,131.05,89.0697674418605,53,137,24,151,4.28571428571429,3,6,1.6,6,4.34408602150538,2,7,1,7,0.20625,0,0.35,0,0.5,0.148743421052632,0,0.2,0,0.6,1,1,1,1,1,0.452054794520548,0,1,0,1
"28",0.12875,0.1025,0.1425,0.028,0.267,0.0271294964028777,0,0.03,0,0.1315,91.375,70.75,101.5,63.1,141.55,86.9568106312292,50,134,24,151,5.28571428571429,5,6,3.6,6,4.35231316725979,3,6,1,7,0.325,0.1125,0.5,0,0.695,0.141769736842105,0,0.2,0,0.6,0.875,1,1,0.35,1,0.452631578947368,0,1,0,1
"29",0.1175,0.07,0.1175,0.027,0.2635,0.0308802816901408,0,0.03,0,0.1685,85.5,75,88,68.75,113.5,89.112582781457,52.25,135.5,24,151,4.5,3,6,1.7,6,4.33574007220217,3,6,1,7,0.30625,0.1125,0.5,0,0.695,0.146953947368421,0,0.2,0,0.6,0.875,1,1,0.35,1,0.473867595818815,0,1,0,1
"30",0.07,0.015,0.11,0,0.1295,0.0294788732394366,0,0.03,0,0.1485,96.625,70.75,130.75,50.75,151,87.7109634551495,50,136,25,151,4,3,5.75,1.5,6,4.30388692579505,3,6,1,7,0.16875,0,0.275,0,0.5,0.151506578947368,0,0.2025,0,0.692499999999998,1,1,1,1,1,0.484429065743945,0,1,0,1
"31",0.10875,0.1025,0.1175,0.067,0.1465,0.028752688172043,0,0.03,0,0.141,82.75,66.25,94,62.05,113.5,89.3986710963455,54,140,26,151,5.375,5,6,3.7,6,4.42960288808664,3,6,1,7,0.2875,0.1875,0.3875,0.0525,0.5,0.159861842105263,0,0.2125,0,0.7,1,1,1,1,1,0.420138888888889,0,1,0,1
"32",0.09375,0.065,0.14,0.007,0.1465,0.0297184115523466,0,0.03,0,0.172,91.625,65.5,124,52.55,141.55,88.2266666666667,51.5,138.5,24.95,151,4.71428571428571,4,6,2.3,6,4.24909747292419,2,6,1,7,0.25,0,0.5,0,0.5,0.157973684210526,0,0.25,0,0.65,1,1,1,1,1,0.460481099656357,0,1,0,1
"33",0.0725,0.045,0.11,0,0.11,0.0273144876325088,0,0.03,0,0.129,83.75,66.25,88,54.9,131.05,88.1993355481728,52,134,26,151,5,4,6,3,6,4.32363636363636,2,6,1,7,0.21875,0.075,0.35,0,0.5,0.150651315789474,0,0.2,0,0.692499999999998,1,1,1,1,1,0.460207612456747,0,1,0,1
"34",0.1125,0.065,0.1175,0.007,0.2635,0.0280072463768116,0,0.03,0,0.1425,95.5,79,101.5,70.15,141.55,87.7866666666667,50,138,24,151,5.125,5.25,6,1.7,6.65,4.28368794326241,2,6,1,7,0.34375,0.1125,0.5,0,0.695,0.140796052631579,0,0.2,0,0.6,0.875,1,1,0.35,1,0.477351916376307,0,1,0,1
"35",0.12875,0.1025,0.1425,0.028,0.267,0.0298576512455516,0,0.03,0,0.16,92.125,73.75,95.5,63.1,141.55,85.13,50,122.25,23.95,151,5.625,5.75,6,3.7,6.65,4.35335689045936,3,6,1,7,0.4125,0.3,0.5,0.0525,0.695,0.149914473684211,0,0.2,0,0.6,0.875,1,1,0.35,1,0.479310344827586,0,1,0,1
"36",0.115,0.11,0.1175,0.0905,0.1465,0.0278848920863309,0,0.03,0,0.1415,84.5,70.75,88,63.1,113.5,88.7176079734219,50,138,24,151,5.375,5,6,3.7,6,4.49280575539568,3,7,1,7,0.35,0.2625,0.5,0.0525,0.5,0.152776315789474,0,0.25,0,0.65,1,1,1,1,1,0.458333333333333,0,1,0,1
"37",0.0725,0.03,0.11,0,0.1295,0.0294733096085409,0,0.03,0,0.14,84.625,62.75,95.5,44.8,141.55,88.6345514950166,53,138,25,151,4.14285714285714,3,5.5,3,6,4.38129496402878,2,7,1,7,0.20625,0.075,0.275,0,0.5,0.147065789473684,0,0.22,0,0.65,1,1,1,1,1,0.486111111111111,0,1,0,1
"38",0.1075,0.035,0.1175,0.007,0.2635,0.0284604316546763,0,0.03,0,0.1415,95,79,95.5,73.4,141.55,86.7176079734219,49,138,24,151,5,4.5,6,1.7,6.65,4.29749103942652,3,6,1,7,0.3125,0,0.5,0,0.695,0.146243421052632,0,0.2,0,0.6,0.875,1,1,0.35,1,0.447916666666667,0,1,0,1
"39",0.08625,0.015,0.11,0,0.253,0.0282928571428571,0,0.03,0,0.1405,92,70.75,102.25,54.65,151,85.9333333333333,50,130,24,151,4.57142857142857,3,6,2.3,6.7,4.31541218637993,2,6,1,7,0.20625,0,0.275,0,0.695,0.156197368421053,0,0.25,0,0.692499999999998,0.875,1,1,0.35,1,0.46875,0,1,0,1
"40",0.095,0.05,0.1175,0.007,0.205,0.0286643109540636,0,0.03,0,0.14,94.75,76.75,106,65.05,141.55,87.7242524916944,52,130,23,151,5.125,5.25,6,1.7,6.65,4.28113879003559,3,6,1,7,0.30625,0.1125,0.5,0,0.565,0.142105263157895,0,0.2,0,0.6,0.875,1,1,0.35,1,0.451724137931034,0,1,0,1
"41",0.07375,0.035,0.11,0.007,0.1295,0.029508896797153,0,0.03,0,0.16,94.5,78,101.5,66.8,141.55,86.5382059800665,50,132,23,151,4.71428571428571,4,6,1.6,6,4.38461538461539,3,6,1,7,0.2125,0,0.35,0,0.5,0.157052631578947,0,0.25,0,0.6,1,1,1,1,1,0.463667820069204,0,1,0,1
"42",0.095,0.075,0.11,0.047,0.136,0.0301075268817204,0,0.03,0,0.161,71.375,63.25,85.25,48.65,91.2,87.9238410596027,52,139.75,24.05,151,4.625,3,6,3,6,4.34657039711191,3,6,1,7,0.2375,0.1875,0.3125,0.0525,0.4475,0.146381578947368,0,0.2025,0,0.642499999999998,1,1,1,1,1,0.458333333333333,0,1,0,1
"43",0.12875,0.1025,0.1425,0.028,0.267,0.0285531914893617,0,0.03,0,0.1295,92.125,73.75,95.5,63.1,141.55,86.7209302325581,52,126,24,151,5.42857142857143,5.5,6,3.6,6,4.28975265017668,2,6,1,7,0.4125,0.3,0.5,0.0525,0.695,0.159730263157895,0,0.25,0,0.65,0.875,1,1,0.35,1,0.467576791808874,0,1,0,1
"44",0.0625,0.015,0.11,0,0.1295,0.025768115942029,0,0.03,0,0.11,85.375,62.75,95.5,48.7,141.55,87.2566666666667,50,134,22.95,151,4,3,5.5,2.3,6,4.37906137184116,3,6,1,7,0.18125,0,0.275,0,0.5,0.150486842105263,0,0.2,0,0.65,1,1,1,1,1,0.467128027681661,0,1,0,1
"45",0.07375,0.03,0.11,0,0.136,0.0270992907801418,0,0.03,0,0.1195,89.375,65.5,102.25,48.65,151,88.4,52,132.5,25.9,151,4.16666666666667,3,5,3,5.75,4.35,2,6,1,7,0.175,0,0.2375,0,0.4475,0.1495,0,0.25,0,0.642499999999998,1,1,1,1,1,0.45360824742268,0,1,0,1
"46",0.12375,0.0925,0.1425,0.014,0.267,0.0302150537634409,0,0.03,0,0.151,92.625,75,95.5,64.85,141.55,89.4257425742574,53.5,139.5,26,151,5.28571428571429,5,6,3.6,6,4.26353790613718,2,6,1,7,0.35625,0.15,0.5,0,0.695,0.159263157894737,0,0.25,0,0.692499999999998,0.875,1,1,0.35,1,0.470588235294118,0,1,0,1
"47",0.06125,0.02,0.11,0.007,0.11,0.0269714285714286,0,0.03,0,0.121,87.125,76.75,88,54.65,131.05,87.9302325581395,52,136,24,151,3.85714285714286,2.5,6,1.3,6,4.29078014184397,2,6,1,7,0.20625,0,0.35,0,0.5,0.145289473684211,0,0.2,0,0.65,1,1,1,1,1,0.484536082474227,0,1,0,1
"48",0.065,0.015,0.11,0,0.1295,0.0290106007067138,0,0.03,0,0.14,102.125,76.75,130.75,65.05,151,87.2524916943522,52,136,24,151,5,4.5,6,1.6,6.7,4.35971223021583,3,6,1,7,0.20625,0,0.35,0,0.5,0.144434210526316,0,0.2,0,0.6,1,1,1,1,1,0.486206896551724,0,1,0,1
"49",0.085,0.065,0.11,0.007,0.1295,0.0305376344086021,0,0.03,0,0.161,95,78,101.5,68.75,141.55,87.4701986754967,50.5,130,23.05,151,4.71428571428571,4,6,1.6,6,4.32862190812721,3,6.5,1,7,0.24375,0,0.5,0,0.5,0.133578947368421,0,0.2,0,0.6,1,1,1,1,1,0.455172413793103,0,1,0,1
"50",0.09125,0.07,0.1175,0.014,0.14,0.0324718309859155,0,0.03,0,0.1785,100.375,81.75,124,68.75,141.55,87.6390728476821,50,136.25,24,151,5,4,6,3,6,4.34163701067616,3,6,1,7,0.26875,0.1125,0.5,0,0.5,0.148690789473684,0,0.2,0,0.6,1,1,1,1,1,0.458041958041958,0,1,0,1
"51",0.11375,0.0925,0.14,0.027,0.205,0.0280985915492958,0,0.03,0,0.135499999999999,95.625,83.75,106,74.8,124,89.5666666666667,52,139.25,27.9,151,4.875,4.5,6,1.7,6,4.23928571428571,2,6,1,7,0.325,0.15,0.5,0,0.565,0.148657894736842,0,0.2,0,0.65,0.875,1,1,0.35,1,0.464788732394366,0,1,0,1
"52",0.0975,0.09,0.1175,0.021,0.1465,0.0278928571428571,0,0.03,0,0.14,85.75,63.25,95.5,48.65,141.55,88.3455149501661,53,139,24,151,5.28571428571429,5,6,3.6,6,4.35714285714286,2.75,6,1,7,0.28125,0.15,0.5,0,0.5,0.140157894736842,0,0.2,0,0.6,1,1,1,1,1,0.475694444444444,0,1,0,1
"53",0.08125,0.02,0.1175,0.007,0.205,0.0276939501779359,0,0.03,0,0.12,92.625,76.75,106,54.65,141.55,89.1266666666667,50,140,26,151,3.85714285714286,2.5,6,1.3,6,4.32490974729242,3,6,1,7,0.24375,0,0.5,0,0.565,0.137907894736842,0,0.2,0,0.6,0.875,1,1,0.35,1,0.463157894736842,0,1,0,1
"54",0.0925,0.085,0.11,0.027,0.1295,0.0319219858156028,0,0.03,0,0.14,83.625,78,88,52.5,113.5,85.016501650165,50,122.5,24.1,151,4.5,3,6,1.7,6,4.31095406360424,3,6,1,7,0.275,0.15,0.5,0,0.5,0.149842105263158,0,0.22,0,0.642499999999998,1,1,1,1,1,0.467576791808874,0,1,0,1
"55",0.08,0.015,0.0875,0,0.253,0.0299,0,0.03,0,0.1605,91,66.25,102.25,53.6,151,87.671096345515,50,137,25,151,4.33333333333333,3,6,2.25,6,4.30324909747292,2,6,1,7,0.23125,0,0.275,0,0.695,0.148546052631579,0,0.2025,0,0.642499999999998,0.875,1,1,0.35,1,0.454861111111111,0,1,0,1
"56",0.09875,0.0975,0.1175,0.021,0.1465,0.0287900355871886,0,0.03,0,0.15,92.25,70,101.5,62.05,141.55,88.1833333333333,50,139.25,23.95,151,5.71428571428571,5.5,6,5,6,4.28057553956835,3,6,1,7,0.29375,0.15,0.5,0,0.5,0.159401315789474,0,0.25,0,0.65,1,1,1,1,1,0.484429065743945,0,1,0,1
"57",0.10375,0.055,0.14,0.027,0.205,0.0292027972027972,0,0.03,0,0.165,85.5,66.25,106,53.6,124,88.1225165562914,52,138.75,26,151,4.625,3,6,2.35,6,4.33096085409253,3,6,1,7,0.26875,0.1125,0.5,0,0.565,0.146407894736842,0,0.22,0,0.6,0.875,1,1,0.35,1,0.452961672473868,0,1,0,1
"58",0.09375,0.05,0.1175,0.007,0.205,0.0283228070175439,0,0.03,0,0.148,87.5,66.25,106,49.7,141.55,88.4651162790698,50,140,25,151,4.28571428571429,3,6,1.6,6,4.2057761732852,2,6,1,7,0.20625,0,0.275,0,0.565,0.160006578947368,0,0.25,0,0.692499999999998,0.875,1,1,0.35,1,0.472027972027972,0,1,0,1
"59",0.12,0.1025,0.11,0.028,0.253,0.0315729537366548,0,0.03,0,0.17,90.75,75,94,68.75,131.05,87.2392026578073,50,136,24,151,5.42857142857143,5.5,6,3.6,6,4.25089605734767,2,6,1,7,0.31875,0.1125,0.5,0,0.695,0.149828947368421,0,0.25,0,0.7,0.875,1,1,0.35,1,0.489583333333333,0,1,0,1
"60",0.1125,0.0925,0.1425,0.014,0.2085,0.0312214285714286,0,0.0325,0,0.17,95.625,81.75,106,64.85,141.55,87.4470198675497,50.5,132,23,151,5.28571428571429,5,6,3.6,6,4.27402135231317,3,6,1,7,0.33125,0.15,0.5,0,0.565,0.149309210526316,0,0.2,0,0.65,0.875,1,1,0.35,1,0.480968858131488,0,1,0,1
"61",0.12875,0.1025,0.1425,0.028,0.267,0.0260071428571429,0,0.03,0,0.111,92.375,70.75,101.5,63.1,141.55,89.1033333333333,52.75,136.25,26,151,5.28571428571429,5,6,3.6,6,4.30909090909091,2,6,1,7,0.3,0.1125,0.3875,0,0.695,0.140157894736842,0,0.2,0,0.6,0.875,1,1,0.35,1,0.439024390243902,0,1,0,1
"62",0.10375,0.035,0.1175,0.007,0.2635,0.0294357142857143,0,0.03,0,0.1505,91.375,73.75,101.5,54.65,141.55,88.5397350993377,50.5,140,26,151,4.57142857142857,3,6,2.3,6,4.34532374100719,3,7,1,7,0.30625,0.1125,0.5,0,0.695,0.137414473684211,0,0.2,0,0.6,0.875,1,1,0.35,1,0.451388888888889,0,1,0,1
"63",0.11125,0.0925,0.14,0.014,0.205,0.0267142857142857,0,0.03,0,0.1215,104.5,85.75,124,76.55,141.55,88,52,136,26,151,5.42857142857143,5.5,6,3.6,6,4.34408602150538,2,6,1,7,0.325,0.15,0.5,0,0.565,0.151013157894737,0,0.2,0,0.65,0.875,1,1,0.35,1,0.454861111111111,0,1,0,1
"64",0.085,0.03,0.12,0,0.2085,0.0288960573476703,0,0.03,0,0.131,95.625,66.25,112.75,62.05,151,86.2990033222591,50,134,23,151,5.14285714285714,4,6,3,6.7,4.36428571428571,3,6,1,7,0.25,0.1125,0.3875,0,0.565,0.150664473684211,0,0.25,0,0.6,0.875,1,1,0.35,1,0.462328767123288,0,1,0,1
"65",0.1125,0.065,0.1175,0.007,0.2635,0.0311267605633803,0,0.03,0,0.17,93.75,75,101.5,68.75,141.55,88.2059800664452,50,139,26,151,4.71428571428571,4,6,1.6,6,4.25714285714286,2,6,1,7,0.28125,0,0.5,0,0.695,0.144565789473684,0,0.2,0,0.692499999999998,0.875,1,1,0.35,1,0.463667820069204,0,1,0,1
"66",0.07375,0.03,0.11,0,0.1295,0.0252482269503546,0,0.03,0,0.1195,102.75,81.75,130.75,68.75,151,87.4205298013245,52,134,24,151,4.83333333333333,3.5,6,3,6,4.21478873239437,2,6,1,7,0.23125,0,0.5,0,0.5,0.145092105263158,0,0.2,0,0.6,1,1,1,1,1,0.506896551724138,0,1,0,1
"67",0.10125,0.055,0.1175,0.014,0.205,0.0284301075268817,0,0.03,0,0.151,97,81.75,106,66.8,141.55,88.3920265780731,50,139,24,151,5.42857142857143,5.5,6,3.6,6,4.35507246376812,3,6,1,7,0.2875,0.15,0.5,0,0.565,0.146263157894737,0,0.2,0,0.65,0.875,1,1,0.35,1,0.467128027681661,0,1,0,1
"68",0.0825,0.055,0.11,0.014,0.136,0.0282633451957295,0,0.03,0,0.15,85,66.25,88,62.05,131.05,90.4418604651163,54,140,26,151,5.125,4.5,6,3,6.65,4.28880866425993,2,6,1,7,0.2125,0.1125,0.3125,0,0.4475,0.148875,0,0.25,0,0.642499999999998,1,1,1,1,1,0.452054794520548,0,1,0,1
"69",0.10375,0.1075,0.1175,0.035,0.1465,0.0286241134751773,0,0.03,0,0.14,89.5,69.25,101.5,48.65,141.55,88.5709570957096,53.5,132,26,151,5.28571428571429,5,6,3.6,6,4.22222222222222,2,6,1,7,0.29375,0.15,0.5,0,0.5,0.147394736842105,0,0.2,0,0.642499999999998,1,1,1,1,1,0.482758620689655,0,1,0,1
"70",0.115,0.07,0.1175,0.014,0.2635,0.0295071428571429,0,0.03,0,0.1605,96.125,82.75,101.5,70.15,141.55,87.8770764119601,52,136,24,151,5.14285714285714,4.5,6,3,6,4.40780141843972,3,6,1,7,0.36875,0.1875,0.5,0.0525,0.695,0.148348684210526,0,0.2,0,0.642499999999998,0.875,1,1,0.35,1,0.441379310344828,0,1,0,1
"71",0.115,0.05,0.1425,0.007,0.267,0.0285384615384615,0,0.03,0,0.1675,85.25,63.25,95.5,52.55,141.55,88.5116279069767,52,137,24,151,5.14285714285714,5,6,2.9,6,4.22064056939502,2,6,1,7,0.29375,0,0.5,0,0.695,0.137940789473684,0,0.2,0,0.6,0.875,1,1,0.35,1,0.465277777777778,0,1,0,1
"72",0.0975,0.055,0.1175,0.014,0.205,0.0321985815602837,0,0.03,0,0.1695,93.625,70.75,106,65.05,141.55,86.9735099337748,50,133.5,24.05,151,5,4,6,3,6,4.38515901060071,3,6,1,7,0.26875,0.1125,0.5,0,0.565,0.144296052631579,0,0.2,0,0.6,0.875,1,1,0.35,1,0.45993031358885,0,1,0,1
"73",0.0625,0.015,0.11,0,0.11,0.0254875444839858,0,0.03,0,0.11,89,78,94,57.7,131.05,89,52,142,24,151,4.28571428571429,3,6,1.6,6,4.2589928057554,2,6,1,7,0.175,0,0.3,0,0.43,0.150078947368421,0,0.2,0,0.65,1,1,1,1,1,0.46551724137931,0,1,0,1
"74",0.115,0.065,0.14,0.007,0.2635,0.025468085106383,0,0.03,0,0.1395,93.75,73.75,124,50.75,141.55,88.5666666666667,50,136.5,24,151,4.42857142857143,3,6,1.6,6,4.34163701067616,3,6,1,7,0.33125,0.1125,0.5,0,0.695,0.148032894736842,0,0.2,0,0.65,0.875,1,1,0.35,1,0.46875,0,1,0,1
